[[-4.9223, -7.8024, 8.261, -6.8435], [-8.3656, 0.4982, -8.1736, -3.9546], [-4.4966, 8.6451, 7.2195, 8.8427], [-4.8675, 8.9291, 5.0865, 9.5871], [-4.0015, 8.8107, 6.0736, 9.684], [-4.9771, -6.9474, 7.9472, -9.8077], [-2.8154, 7.7916, 6.1721, 7.6763], [-9.0952, 0.7753, -8.8316, -3.7971], [-4.4465, -8.3548, 7.9425, -8.0293], [-7.5274, 0.8848, -9.3769, -4.8204]]
0.0000,0.0000,0.0000,0.0000,0.0000,0.0492,0.0000,0.0000,0.9088,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7629,0.0000,0.4011
0.0000,0.0000,0.0000,0.1506,0.5462,0.0000,0.2438,0.0000,0.0000,0.0000
0.0000,0.0000,0.1506,0.0000,0.6756,0.0000,0.0264,0.0000,0.0000,0.0000
0.0000,0.0000,0.5462,0.6756,0.0000,0.0000,0.1446,0.0000,0.0000,0.0000
0.0492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3720,0.0000
0.0000,0.0000,0.2438,0.0264,0.1446,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.7629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2862
0.9088,0.0000,0.0000,0.0000,0.0000,0.3720,0.0000,0.0000,0.0000,0.0000
0.0000,0.4011,0.0000,0.0000,0.0000,0.0000,0.0000,0.2862,0.0000,0.0000
